step,sim_time_s,motion_frame,reference_joint_pos,actual_joint_pos,policy_action,anchor_position_error,anchor_rotation_error,body_position_error,body_rotation_error,total_reward,total_reward_rate,terminated,truncated,done,reward/motion_global_root_pos,reward/motion_global_root_ori,reward/motion_body_pos,reward/motion_body_ori,reward/motion_body_lin_vel,reward/motion_body_ang_vel,reward/action_rate_l2,reward/joint_limit,reward/self_collisions
0,0.0,0,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.3301721215248108,-0.0029989464674144983,-0.010238468647003174,0.6569830179214478,-0.3284117877483368,0.00208263355307281,-0.3334622383117676,-0.0012968239607289433,0.001691924873739481,0.6718059182167053,-0.3941848576068878,-0.008085383102297783,-0.0029423912055790424,0.004737278446555138,-0.02298036217689514,0.20954345166683197,0.1977728307247162,-0.001640666974708438,0.5891536474227905,-0.015557434409856796,-0.0011769223492592573,0.004568275064229965,0.20631776750087738,-0.20388498902320862,-0.0013362038880586624,0.593867301940918,0.0064586433582007885,-0.000858586747199297,0.004350724164396524]","[-0.12133999168872833,0.05303949862718582,-0.1235002651810646,-0.23382289707660675,0.5743913650512695,0.049808159470558167,-0.3163408637046814,-0.19416923820972443,0.22534577548503876,-0.0462547168135643,-0.4954351484775543,-0.16007056832313538,-0.14890846610069275,0.544123649597168,-0.2015867680311203,-0.17555402219295502,0.08988743275403976,0.02719581127166748,-0.31848135590553284,-0.13398317992687225,-0.2780170440673828,0.2833000421524048,0.12120042741298676,-0.1603885293006897,-0.08561348915100098,-0.0964508205652237,0.0775291696190834,-0.0182017982006073,0.3384230434894562]",0.0033360193483531475,0.006151213310658932,0.0097676245495677,0.0673176646232605,0.09443438053131104,4.721719026565552,0,0,0,0.49996939301490784,0.4999435842037201,0.9988356232643127,0.9724646806716919,0.9839121103286743,0.9400947690010071,-0.17350134253501892,-0.0,-0.0
1,0.02,1,"[-0.3070574402809143,-0.0006092239054851234,-0.0022811510134488344,0.6534006595611572,-0.3605162501335144,-0.0013131157029420137,-0.30889567732810974,-0.0020995454397052526,-0.0018766890279948711,0.6621687412261963,-0.35857322812080383,-0.0009133759303949773,0.0031849646475166082,-0.0005140284192748368,0.0015995765570551157,0.20015861093997955,0.19996602833271027,-0.0003301902615930885,0.5991771221160889,6.048814611858688e-05,-0.00010513535380596295,-0.0001743107713991776,0.19967299699783325,-0.20064114034175873,0.0001739644503686577,0.5983636975288391,-0.00021159597963560373,-0.0004528947174549103,-0.00015240005450323224]","[-0.35968056321144104,-0.010987835004925728,-0.016945458948612213,0.6747957468032837,-0.33519864082336426,0.0016652601771056652,-0.3610178232192993,-0.00907017383724451,-0.002442320343106985,0.6861143112182617,-0.3782958686351776,-0.0067757717333734035,-0.009324543178081512,0.0055702789686620235,-0.041081905364990234,0.2125983089208603,0.19422225654125214,-0.00508684990927577,0.5820296406745911,-0.04093991219997406,-0.0034161796793341637,0.010095078498125076,0.21398158371448517,-0.20766662061214447,-0.00036463740980252624,0.58885258436203,0.013096554204821587,-0.0027641889173537493,0.01037903968244791]","[-0.202981099486351,0.05590420216321945,-0.24621224403381348,-0.16774240136146545,0.6135178208351135,0.06107795238494873,-0.309421181678772,-0.35121166706085205,0.2980571687221527,-0.4349497854709625,-0.4894475042819977,-0.1695260852575302,0.004320230334997177,0.2615343928337097,0.01939728856086731,-0.022158700972795486,0.045278578996658325,-0.023976191878318787,-0.2624330222606659,-0.2349516600370407,-0.2287762463092804,0.3052283823490143,0.08871079981327057,-0.2337852120399475,-0.009975053369998932,-0.2634967565536499,0.07869899272918701,-0.22184006869792938,0.5157898664474487]",0.005494168493896723,0.009643237106502056,0.004607779905200005,0.01791258528828621,0.09738951176404953,4.8694755882024765,0,0,0,0.4998648166656494,0.4997202754020691,0.9997960329055786,0.9975325465202332,0.9854394793510437,0.9389731884002686,-0.05185094103217125,-0.0,-0.0
2,0.04,2,"[-0.30148881673812866,-0.0009636306203901768,-0.006327854003757238,0.6313833594322205,-0.3579586148262024,-0.0028540214989334345,-0.3051952123641968,-0.005029234103858471,-0.004474981222301722,0.6524863839149475,-0.3533841073513031,-0.0019667705055326223,0.00833942275494337,-0.0008812337182462215,0.003466154681518674,0.20088936388492584,0.19988393783569336,-0.0007368694641627371,0.5973932147026062,0.0001248424086952582,-0.00039596157148480415,-0.0003834398521576077,0.19860932230949402,-0.2020149827003479,0.000535741331987083,0.5953605771064758,-0.000470913975732401,-0.0011980608105659485,-0.00028755530365742743]","[-0.384038507938385,-0.01813763566315174,-0.028655363246798515,0.696251630783081,-0.3479374349117279,0.0024051633663475513,-0.3770248293876648,-0.015757489949464798,-0.012909912504255772,0.6978540420532227,-0.36655882000923157,-0.0014575920067727566,-0.015183387324213982,0.010399581864476204,-0.050064779818058014,0.21279045939445496,0.1872745007276535,-0.013044388964772224,0.5744576454162598,-0.06417730450630188,-0.002803459530696273,0.015139096416532993,0.22654373943805695,-0.21291960775852203,-0.00029826018726453185,0.579692542552948,0.018147505819797516,-0.00526759447529912,0.020511602982878685]","[-0.2718067765235901,-0.008388705551624298,-0.24373634159564972,0.030722567811608315,0.5788697004318237,0.0327470600605011,-0.2942410111427307,-0.49257487058639526,0.4353208839893341,-0.8206274509429932,-0.5979015827178955,-0.17081601917743683,0.009275045245885849,0.019315481185913086,0.08168745040893555,0.14687150716781616,0.1826416403055191,-0.02000400424003601,-0.294834703207016,-0.2582787275314331,-0.11250060796737671,0.37307512760162354,-0.03248467668890953,-0.23471954464912415,-0.055564962327480316,-0.40168264508247375,0.08224909752607346,-0.4030318260192871,0.7805972099304199]",0.005803429521620274,0.01226490456610918,0.005220075137913227,0.030859090387821198,0.09693887829780579,4.846943914890289,0,0,0,0.4998348653316498,0.4995933175086975,0.9996816515922546,0.9933256506919861,0.9783980250358582,0.927951455116272,-0.05184110999107361,-0.0,-0.0
3,0.06,3,"[-0.2972021996974945,-0.0012483204482123256,-0.005928635131567717,0.6131411194801331,-0.35067811608314514,-0.00427670544013381,-0.3015744686126709,-0.00934499129652977,-0.007531868759542704,0.6421838402748108,-0.35405561327934265,-0.00285607622936368,0.013671656139194965,-0.0028025449719280005,0.006582824047654867,0.20102256536483765,0.2002096027135849,-0.0006940876482985914,0.5957455635070801,0.00011140074639115483,-0.001093807048164308,-0.00045531339128501713,0.19606752693653107,-0.20292232930660248,0.0007521582883782685,0.5931776762008667,-0.0006332602351903915,-0.002138732932507992,-0.00040116062154993415]","[-0.40411171317100525,-0.021551067009568214,-0.0437806211411953,0.711921751499176,-0.35735705494880676,0.003310501342639327,-0.3850390911102295,-0.018062835559248924,-0.02555462159216404,0.6976264119148254,-0.3642035722732544,0.0042666359804570675,-0.016540467739105225,0.01854073256254196,-0.057030629366636276,0.21748557686805725,0.1806766241788864,-0.026187434792518616,0.5611569285392761,-0.08393155038356781,-0.0014962132554501295,0.020978843793272972,0.2392648160457611,-0.2181636542081833,-0.003077707951888442,0.5713119506835938,0.022050464525818825,-0.01062382385134697,0.034609079360961914]","[-0.4042802155017853,-0.026308387517929077,-0.21545910835266113,0.1801280677318573,0.4062488079071045,-0.013656776398420334,-0.24606147408485413,-0.5671591758728027,0.5684306621551514,-0.9921548366546631,-0.4977937638759613,-0.1923668384552002,0.027558941394090652,-0.22066360712051392,0.1288851946592331,0.2120601236820221,0.30471736192703247,-0.0354892760515213,-0.3209148347377777,-0.28315865993499756,-0.06220843642950058,0.5135630369186401,-0.15767771005630493,-0.20564760267734528,-0.07901565730571747,-0.4289686679840088,0.08613098412752151,-0.618777871131897,1.0909206867218018]",0.006421074271202087,0.017771419137716293,0.006012564990669489,0.04187984764575958,0.09733351320028305,4.8666756600141525,0,0,0,0.49980124831199646,0.49916356801986694,0.9994980096817017,0.9877127408981323,0.9752490520477295,0.9454749822616577,-0.04022372141480446,-0.0,-0.0
4,0.08,4,"[-0.29716917872428894,-0.0024368069134652615,-0.003337283618748188,0.604231059551239,-0.3425084352493286,-0.005745805334299803,-0.3016743063926697,-0.013806300237774849,-0.008829280734062195,0.6382747888565063,-0.35515692830085754,-0.0033342267852276564,0.018807800486683846,-0.005675024352967739,0.01316807046532631,0.19881951808929443,0.20001466572284698,4.010348493466154e-05,0.5969789028167725,9.636126924306154e-05,-0.001754082040861249,-0.00037064828211441636,0.19058704376220703,-0.20283687114715576,0.0004754291148856282,0.5940350890159607,-0.000767422141507268,-0.0029057494830340147,-0.0005787650588899851]","[-0.4223862290382385,-0.02211611717939377,-0.05755017325282097,0.7231584787368774,-0.36186283826828003,0.0027276452165097,-0.3920993208885193,-0.016057360917329788,-0.03333267197012901,0.6897361278533936,-0.3621269762516022,0.008446439169347286,-0.012452907860279083,0.02424759231507778,-0.06316842883825302,0.22702577710151672,0.17844147980213165,-0.04201025888323784,0.5445374846458435,-0.10067461431026459,-0.0014905630378052592,0.02845919504761696,0.2456226646900177,-0.22131609916687012,-0.006971166003495455,0.568181574344635,0.026753339916467667,-0.0184425488114357,0.051161766052246094]","[-0.5114477872848511,0.009853661060333252,-0.22103138267993927,0.19989259541034698,0.2423570305109024,-0.04662202671170235,-0.18587490916252136,-0.544216513633728,0.5901799201965332,-0.9129552841186523,-0.3028886616230011,-0.20647509396076202,0.018211286514997482,-0.3259545862674713,0.12270820140838623,0.20266738533973694,0.3427688181400299,-0.07257053256034851,-0.3294931948184967,-0.30389004945755005,-0.054804764688014984,0.6852747201919556,-0.19899621605873108,-0.1870570182800293,-0.09425550699234009,-0.3874627351760864,0.10534828156232834,-0.788072407245636,1.3786739110946655]",0.00875102449208498,0.02232549525797367,0.00770195946097374,0.04941357299685478,0.09794852137565613,4.897426068782806,0,0,0,0.49962010979652405,0.49853968620300293,0.9990884065628052,0.9826708436012268,0.978768527507782,0.9637633562088013,-0.025024859234690666,-0.0,-0.0
5,0.1,5,"[-0.2986909747123718,-0.0035386451054364443,0.0002236442087450996,0.6036516427993774,-0.3372189998626709,-0.00700012082234025,-0.30350741744041443,-0.01697956770658493,-0.0084055345505476,0.6408944129943848,-0.3584105372428894,-0.003419596003368497,0.023248925805091858,-0.0082092909142375,0.024104706943035126,0.19414232671260834,0.19865639507770538,0.00121350958943367,0.6014233827590942,5.272142152534798e-05,-0.0021235737949609756,-8.387910929741338e-05,0.18282189965248108,-0.2018773853778839,-0.00018421544518787414,0.5979297757148743,-0.0009038432617671788,-0.0033298619091510773,-0.0008691131952218711]","[-0.4373478293418884,-0.019754381850361824,-0.06885165721178055,0.7309530377388,-0.36569634079933167,-0.0012742584804072976,-0.4000851511955261,-0.010419362224638462,-0.035995982587337494,0.6811223030090332,-0.3580821454524994,0.0106680141761899,-0.005878454074263573,0.02693409100174904,-0.06581379473209381,0.23862862586975098,0.180172860622406,-0.05623906850814819,0.5283430218696594,-0.11401677131652832,-0.0020396884065121412,0.0370585173368454,0.24344922602176666,-0.22240866720676422,-0.010524751618504524,0.5686066150665283,0.032563596963882446,-0.02650294452905655,0.0677061527967453]","[-0.516451358795166,0.0729527473449707,-0.23128408193588257,0.1844252049922943,0.18142159283161163,-0.0759347677230835,-0.13003191351890564,-0.4831179678440094,0.5253792405128479,-0.7373491525650024,-0.10160544514656067,-0.22849881649017334,-0.000894598662853241,-0.28247204422950745,0.06485898792743683,0.15776820480823517,0.3221161663532257,-0.09409517794847488,-0.3522990047931671,-0.3139572739601135,-0.05337928980588913,0.8366979360580444,-0.17300747334957123,-0.17225351929664612,-0.09933626651763916,-0.3380559980869293,0.12540528178215027,-0.86118084192276,1.5765191316604614]",0.011448920704424381,0.02413349784910679,0.01000535860657692,0.054994113743305206,0.09820739924907684,4.910369962453842,0,0,0,0.49932265281677246,0.49813878536224365,0.998514711856842,0.9781460165977478,0.9827244877815247,0.9707356691360474,-0.017212314531207085,-0.0,-0.0
6,0.12,6,"[-0.300220251083374,-0.004626421723514795,0.004070602357387543,0.6075831651687622,-0.3337007164955139,-0.007986312732100487,-0.3055875897407532,-0.019347429275512695,-0.006921854335814714,0.6471589803695679,-0.3626331388950348,-0.0034525219816714525,0.026820650324225426,-0.010267527773976326,0.03785352408885956,0.1883288025856018,0.1963021457195282,0.0022721036802977324,0.6075676679611206,1.2527405033324612e-06,-0.001954052597284317,0.0002470299950800836,0.174246683716774,-0.20027770102024078,-0.0008210909436456859,0.6033292412757874,-0.0010211779735982418,-0.0032383017241954803,-0.0011730951955541968]","[-0.4476735293865204,-0.014439668506383896,-0.07506568729877472,0.735325038433075,-0.3735237419605255,-0.002928568981587887,-0.40856456756591797,-0.0025707087479531765,-0.03566430136561394,0.6760650873184204,-0.35337552428245544,0.011506618931889534,0.00011265627108514309,0.027385951951146126,-0.06329482793807983,0.2493751496076584,0.18423539400100708,-0.06624104827642441,0.5149741768836975,-0.12338550388813019,-0.0021495535038411617,0.04585088789463043,0.23386606574058533,-0.22167325019836426,-0.013428173959255219,0.5703667402267456,0.03813965246081352,-0.03355836868286133,0.08224957436323166]","[-0.42797189950942993,0.16189195215702057,-0.24961280822753906,0.11087159067392349,0.23588024079799652,-0.0954866036772728,-0.11092233657836914,-0.3967275619506836,0.4347251355648041,-0.5320264101028442,0.06758691370487213,-0.24329106509685516,-0.013879407197237015,-0.13081008195877075,-0.01993561163544655,0.09392736852169037,0.27973121404647827,-0.10271147638559341,-0.3894205391407013,-0.3113687336444855,-0.06168817728757858,0.9486469030380249,-0.12858101725578308,-0.16979795694351196,-0.1031886637210846,-0.29058805108070374,0.13474291563034058,-0.8695653080940247,1.688948154449463]",0.013615786097943783,0.023844491690397263,0.012023809365928173,0.05920157581567764,0.09816285967826843,4.908142983913422,0,0,0,0.4990094304084778,0.49809399247169495,0.9979488253593445,0.9740973711013794,0.983145534992218,0.9737699031829834,-0.017922017723321915,-0.0,-0.0
7,0.14,7,"[-0.29939380288124084,-0.0060493359342217445,0.008137053810060024,0.61237633228302,-0.33071574568748474,-0.008657463826239109,-0.3056674897670746,-0.021691180765628815,-0.004665982909500599,0.6540201902389526,-0.3666464686393738,-0.0035639621783047915,0.029897555708885193,-0.012300905771553516,0.05342649668455124,0.18229608237743378,0.19323210418224335,0.0030121849849820137,0.614891529083252,-3.0493294616462663e-05,-0.0014862038660794497,0.000636796816252172,0.16575199365615845,-0.19775910675525665,-0.0012832151260226965,0.6099162697792053,-0.0012013865634799004,-0.0028448980301618576,-0.0015489464858546853]","[-0.45531484484672546,-0.010502948425710201,-0.07162566483020782,0.7407690286636353,-0.3771935999393463,-0.0010548873106017709,-0.4164605736732483,0.0019678364042192698,-0.0307533647865057,0.676308810710907,-0.34979239106178284,0.011890876106917858,0.0033532772213220596,0.019270390272140503,-0.055171698331832886,0.257132351398468,0.19157719612121582,-0.07091540843248367,0.5073109865188599,-0.12938906252384186,-0.0018105696653947234,0.053980015218257904,0.2169567346572876,-0.21605174243450165,-0.015257605351507664,0.5766202807426453,0.04169647768139839,-0.03929591551423073,0.09382487088441849]","[-0.1873863935470581,0.32573607563972473,-0.3235505223274231,-0.15171121060848236,0.4236896336078644,-0.10499772429466248,-0.220260351896286,-0.2612869441509247,0.27311500906944275,-0.25718942284584045,0.13839341700077057,-0.183134526014328,-0.04243070259690285,0.1616126000881195,-0.12589259445667267,0.0069745127111673355,0.212735116481781,-0.11788974702358246,-0.42763838171958923,-0.3061201274394989,-0.10376956313848495,1.005745768547058,-0.0917753279209137,-0.21448227763175964,-0.12507976591587067,-0.22811974585056305,0.1290859580039978,-0.8731761574745178,1.7293798923492432]",0.014514021575450897,0.02359672449529171,0.013457939960062504,0.06250543892383575,0.0976942852139473,4.884714260697365,0,0,0,0.49883466958999634,0.4981999397277832,0.9974988102912903,0.9709504246711731,0.9854846596717834,0.9798315167427063,-0.046085476875305176,-0.0,-0.0
8,0.16,8,"[-0.2971328794956207,-0.0075663854368031025,0.01234066765755415,0.6165587902069092,-0.32831090688705444,-0.009015440940856934,-0.3043266832828522,-0.024045731872320175,-0.0020088576711714268,0.6599493026733398,-0.3702664375305176,-0.0038225676398724318,0.032239221036434174,-0.01430883165448904,0.06891411542892456,0.17698454856872559,0.1896936595439911,0.003266638610512018,0.6221782565116882,-5.605549813481048e-05,-0.0007334908586926758,0.0009642868535593152,0.15831579267978668,-0.19450081884860992,-0.0013302775332704186,0.6165033578872681,-0.0013761741574853659,-0.0021754757035523653,-0.0018804369028657675]","[-0.4565678536891937,-0.009089869447052479,-0.06309452652931213,0.7396628856658936,-0.37379127740859985,0.003442370565608144,-0.42227134108543396,0.002416210016235709,-0.023240208625793457,0.6795719861984253,-0.34794846177101135,0.012514863163232803,0.0025837719440460205,0.005019559524953365,-0.044695354998111725,0.26224157214164734,0.19929467141628265,-0.06967002898454666,0.506812334060669,-0.13136443495750427,-0.002741364063695073,0.06000867858529091,0.1966027319431305,-0.20769338309764862,-0.01465518120676279,0.5863144397735596,0.04335438087582588,-0.044168174266815186,0.10216528922319412]","[0.07079474627971649,0.4970991909503937,-0.44783517718315125,-0.45584115386009216,0.645066499710083,-0.08649472147226334,-0.36354923248291016,-0.15986360609531403,0.07617036253213882,-0.008379505947232246,0.05176614224910736,-0.060603417456150055,-0.06140604242682457,0.5393364429473877,-0.21540957689285278,-0.03290216624736786,0.11354862153530121,-0.11192448437213898,-0.43281450867652893,-0.2857142984867096,-0.24124830961227417,0.9887268543243408,-0.07011249661445618,-0.2808891832828522,-0.13477317988872528,-0.14976154267787933,0.12219104915857315,-0.8772194981575012,1.721145510673523]",0.01438069250434637,0.027804400771856308,0.014073271304368973,0.0646006166934967,0.09741103649139404,4.870551824569702,0,0,0,0.4988352656364441,0.4977630376815796,0.9973317384719849,0.9692831635475159,0.9881272912025452,0.9792850613594055,-0.06007351353764534,-0.0,-0.0
9,0.18,9,"[-0.2922969460487366,-0.009324158541858196,0.016868004575371742,0.618310272693634,-0.32583630084991455,-0.009230270981788635,-0.3014809191226959,-0.02639232762157917,0.0013535436009988189,0.6644140481948853,-0.3727414608001709,-0.004220025613903999,0.034588370472192764,-0.016653021797537804,0.08378304541110992,0.17299331724643707,0.18581223487854004,0.0031494880095124245,0.629096508026123,-8.529415936209261e-05,5.974257146590389e-05,0.0013033817522227764,0.15228208899497986,-0.19048552215099335,-0.0008356909384019673,0.6228028535842896,-0.0016142490785568953,-0.001433062832802534,-0.00220349314622581]","[-0.4542085528373718,-0.010055112652480602,-0.054232172667980194,0.7323545813560486,-0.3670763671398163,0.008298395201563835,-0.42740103602409363,-0.004014450125396252,-0.02146926522254944,0.6848571300506592,-0.3504062294960022,0.012797013856470585,0.0007642179261893034,-0.010335089638829231,-0.036741793155670166,0.26464956998825073,0.2046603113412857,-0.065696582198143,0.5134297609329224,-0.13063085079193115,-0.007642318028956652,0.06328234076499939,0.17981599271297455,-0.19937147200107574,-0.013169016689062119,0.5952942967414856,0.04411028325557709,-0.04844620078802109,0.1079048290848732]","[0.17708180844783783,0.5880345106124878,-0.570127546787262,-0.6301364898681641,0.6965221762657166,-0.10409284383058548,-0.4198572635650635,-0.1938253790140152,-0.0028615621849894524,0.12603724002838135,-0.010634660720825195,0.0020129624754190445,-0.00698133185505867,0.7726644277572632,-0.2754534184932709,0.025601692497730255,0.06448833644390106,-0.1062530130147934,-0.39787790179252625,-0.27049142122268677,-0.5127896666526794,0.9284529685974121,-0.05586671456694603,-0.2843391001224518,-0.12844479084014893,-0.1166706383228302,0.11970383673906326,-0.8894625902175903,1.721428632736206]",0.013992573134601116,0.03592010214924812,0.014265773817896843,0.06556142866611481,0.09815789014101028,4.907894507050514,0,0,0,0.49890270829200745,0.49635404348373413,0.9973100423812866,0.9682418704032898,0.9915251135826111,0.9807113409042358,-0.02515074424445629,-0.0,-0.0
