step,sim_time_s,motion_frame,reference_joint_pos,actual_joint_pos,policy_action,anchor_position_error,anchor_rotation_error,body_position_error,body_rotation_error,total_reward,total_reward_rate,terminated,truncated,done,reward/motion_global_root_pos,reward/motion_global_root_ori,reward/motion_body_pos,reward/motion_body_ori,reward/motion_body_lin_vel,reward/motion_body_ang_vel,reward/action_rate_l2,reward/joint_limit,reward/self_collisions,termination/time_out,termination/anchor_pos,termination/anchor_ori,termination/ee_body_pos
0,0.0,0,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.30634719133377075,0.008914065547287464,-0.0005627672071568668,0.6456069350242615,-0.3525070548057556,0.0005131944781169295,-0.3132549822330475,0.004375056829303503,-0.002561262808740139,0.6709156036376953,-0.35973525047302246,-0.004668532405048609,-0.0025009922683238983,0.005922622047364712,-0.0033960447181016207,0.20448778569698334,0.1990227997303009,-0.0035614515654742718,0.5957052111625671,-0.007374510634690523,0.0020645190961658955,0.008466953411698341,0.19457818567752838,-0.20264217257499695,0.005096069537103176,0.607523500919342,0.0005112537182867527,-0.007815880700945854,-0.001160968909971416]","[0.12339767813682556,0.37660282850265503,-0.18838287889957428,-0.470846951007843,0.07565928250551224,0.03669454902410507,-0.0507267564535141,-0.009630478918552399,0.00933089479804039,0.04093190282583237,0.028894394636154175,-0.06488432735204697,-0.05996830388903618,0.23353956639766693,-0.20779913663864136,-0.11337883025407791,-0.06358909606933594,-0.09415127336978912,-0.1585758477449417,-0.08160025626420975,-0.020244576036930084,0.43951326608657837,-0.25089094042778015,-0.054679930210113525,0.0490814670920372,-0.03343852609395981,0.002712070941925049,-0.4858730435371399,0.0404307022690773]",0.00203268532641232,0.0050440398044884205,0.012403621338307858,0.08670762926340103,0.09569860994815826,4.784930497407913,0,0,0,0.49998974800109863,0.49996399879455566,0.9980466961860657,0.9545129537582397,0.9668163061141968,0.9746437668800354,-0.10904305428266525,-0.0,-0.0,0.0,0.0,0.0,0.0
1,0.02,1,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.3083416819572449,0.006031092256307602,0.012021870352327824,0.6511684656143188,-0.350202739238739,-0.0013495704624801874,-0.3171136677265167,-0.0030418855603784323,0.0039630914106965065,0.6767832040786743,-0.3625493347644806,-0.0031019672751426697,0.002856474369764328,-0.004807787947356701,-0.004725768230855465,0.20258748531341553,0.20136794447898865,-0.011897498741745949,0.6047149896621704,-0.022134188562631607,0.000576186110265553,0.020668471232056618,0.18452586233615875,-0.19697803258895874,0.009843082167208195,0.6254014372825623,0.0015892407391220331,-0.016700923442840576,-0.001239846576936543]","[0.10905394703149796,0.4639241695404053,-0.26244881749153137,-0.702876627445221,0.09688818454742432,0.0351598896086216,-0.15617814660072327,-0.057903531938791275,-0.001736451406031847,-0.015735695138573647,-0.11592896282672882,0.0003847978077828884,0.05250716581940651,0.10185864567756653,-0.07643823325634003,-0.1371992528438568,-0.08331745862960815,-0.15748432278633118,-0.06482753902673721,-0.15670907497406006,-0.19620531797409058,0.6559939384460449,-0.1853615939617157,-0.08365621417760849,0.04383259639143944,-0.02372930757701397,0.009194668382406235,-0.588496744632721,0.11836821585893631]",0.0043448032811284065,0.009136857464909554,0.004778373520821333,0.010621138848364353,0.09844546020030975,4.922273010015488,0,0,0,0.49991747736930847,0.4997856020927429,0.9997869729995728,0.9993685483932495,0.9800846576690674,0.9709298610687256,-0.027599874883890152,-0.0,-0.0,0.0,0.0,0.0,0.0
2,0.04,2,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.3082210421562195,0.004958213306963444,0.022702656686306,0.6618012189865112,-0.35364338755607605,-0.004179518204182386,-0.3235224485397339,-0.005469542928040028,0.012792199850082397,0.6939451098442078,-0.3673836886882782,-0.0007415537838824093,0.010790027678012848,-0.012361046858131886,-0.0035434875171631575,0.19685575366020203,0.19924743473529816,-0.02284219302237034,0.620574414730072,-0.03674161061644554,-0.001483105937950313,0.03210607171058655,0.17875221371650696,-0.18955276906490326,0.013567413203418255,0.6400302648544312,-0.0004972163005732,-0.023262925446033478,0.0005057505914010108]","[-0.004171773791313171,0.5624430775642395,-0.3937343955039978,-0.7736685276031494,0.05296541005373001,0.0787586122751236,-0.1395310014486313,-0.0038292668759822845,-0.01430293545126915,-0.014429265633225441,-0.22303041815757751,0.08830208331346512,0.054565880447626114,0.12473820149898529,-0.027440804988145828,-0.15178430080413818,-0.046049345284700394,-0.16628560423851013,-0.11671627312898636,-0.17756804823875427,-0.3875874876976013,0.7671140432357788,-0.11891495436429977,-0.17912709712982178,-0.001603342592716217,-0.06626669317483902,-0.020844262093305588,-0.685825526714325,0.171644926071167]",0.005807780660688877,0.010759484954178333,0.0060625397600233555,0.017377927899360657,0.09889229387044907,4.944614693522453,0,0,0,0.49983206391334534,0.49965372681617737,0.9996094703674316,0.9981723427772522,0.9863987565040588,0.9767976403236389,-0.015849169343709946,-0.0,-0.0,0.0,0.0,0.0,0.0
3,0.06,3,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.30816832184791565,0.005995879881083965,0.027089271694421768,0.6667738556861877,-0.3572993278503418,-0.0073510124348104,-0.32807451486587524,-0.005365544464439154,0.016789013519883156,0.7058541178703308,-0.37543362379074097,0.005179623141884804,0.015731563791632652,-0.015566659159958363,-0.006526030134409666,0.19458705186843872,0.1940518468618393,-0.03456766903400421,0.631882905960083,-0.04897892475128174,-0.005962022580206394,0.04186713322997093,0.17989179491996765,-0.18276682496070862,0.01699359528720379,0.6481038331985474,-0.004461592063307762,-0.029665956273674965,0.004234950058162212]","[-0.04531951621174812,0.6159898042678833,-0.43054917454719543,-0.7958520650863647,0.0415152981877327,0.10277969390153885,-0.18046365678310394,-0.026755232363939285,0.018975283950567245,-0.01853051967918873,-0.27546417713165283,0.11938315629959106,0.03728551045060158,0.11026762425899506,-0.018642716109752655,-0.14431360363960266,0.016487251967191696,-0.15563711524009705,-0.12194321304559708,-0.18959267437458038,-0.5779004096984863,0.8639498353004456,-0.10983087867498398,-0.24652069807052612,-0.03126121684908867,-0.07678388804197311,-0.03696023300290108,-0.7812737822532654,0.2630701959133148]",0.007218226324766874,0.012202453799545765,0.006912382785230875,0.023515889421105385,0.0991298109292984,4.95649054646492,0,0,0,0.49973976612091064,0.4995671510696411,0.9994513392448425,0.9964168071746826,0.9854392409324646,0.9846693873405457,-0.008793344721198082,-0.0,-0.0,0.0,0.0,0.0,0.0
4,0.08,4,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.3100457191467285,0.007599230390042067,0.02764527127146721,0.6665942668914795,-0.35903748869895935,-0.010783623903989792,-0.33268895745277405,-0.005211743991822004,0.016337402164936066,0.7114279270172119,-0.38336989283561707,0.0115335863083601,0.01729615405201912,-0.01754571683704853,-0.01359544601291418,0.1964876800775528,0.188035249710083,-0.04437597468495369,0.6375588774681091,-0.05830434709787369,-0.013397224247455597,0.050465650856494904,0.1847272515296936,-0.17701196670532227,0.0203732717782259,0.6517611742019653,-0.00873483344912529,-0.03647712618112564,0.009200886823236942]","[-0.04799778014421463,0.611832320690155,-0.42903009057044983,-0.7421568036079407,0.09486839175224304,0.11991386860609055,-0.22106198966503143,-0.0818919837474823,0.061253491789102554,-0.044850289821624756,-0.27992868423461914,0.10402994602918625,0.0108867846429348,0.09325902163982391,-0.008295401930809021,-0.14519944787025452,0.07046159356832504,-0.13164733350276947,-0.1151379868388176,-0.19295041263103485,-0.7402682304382324,0.967815637588501,-0.10657141357660294,-0.274039089679718,-0.04235996678471565,-0.0797649547457695,-0.04614616557955742,-0.8714786171913147,0.3476100564002991]",0.009431365877389908,0.014507725834846497,0.007484061177819967,0.028473123908042908,0.09910163283348083,4.955081641674042,0,0,0,0.4995655417442322,0.4993933141231537,0.9993233680725098,0.9945517182350159,0.9815918207168579,0.9878092408180237,-0.007153421174734831,-0.0,-0.0,0.0,0.0,0.0,0.0
5,0.1,5,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.31397387385368347,0.00884928647428751,0.02528372034430504,0.6640341281890869,-0.3589308559894562,-0.014291355386376381,-0.33765560388565063,-0.0055090985260903835,0.012317700311541557,0.7130585312843323,-0.3884882926940918,0.013320956379175186,0.01501586101949215,-0.019231069833040237,-0.02167786844074726,0.20024344325065613,0.18221713602542877,-0.05084026977419853,0.6397112607955933,-0.06439269334077835,-0.02207537181675434,0.05830299109220505,0.19039274752140045,-0.1728350967168808,0.023310638964176178,0.652690589427948,-0.012762755155563354,-0.043685756623744965,0.014592207968235016]","[-0.044895291328430176,0.5609397888183594,-0.40851789712905884,-0.6480638384819031,0.19077250361442566,0.12773381173610687,-0.24040082097053528,-0.14991112053394318,0.11103462427854538,-0.10692844539880753,-0.27054309844970703,0.07230515033006668,-0.01637803390622139,0.0847855806350708,-0.009136885404586792,-0.15488633513450623,0.10471601784229279,-0.10600771754980087,-0.11153819411993027,-0.18746227025985718,-0.8508926630020142,1.0629106760025024,-0.10095327347517014,-0.2830216586589813,-0.045337844640016556,-0.07929004728794098,-0.05301408842206001,-0.9626689553260803,0.42160141468048096]",0.012529623694717884,0.016271108761429787,0.008052622899413109,0.03212378919124603,0.09902138262987137,4.951069131493568,0,0,0,0.4992305636405945,0.49920332431793213,0.9991804957389832,0.9927794337272644,0.9771289229393005,0.9907042384147644,-0.007158295251429081,-0.0,-0.0,0.0,0.0,0.0,0.0
6,0.12,6,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.31926921010017395,0.00896512158215046,0.02049533650279045,0.6604911684989929,-0.35735225677490234,-0.01785893552005291,-0.3425299823284149,-0.006405696272850037,0.005883193574845791,0.7123943567276001,-0.38962629437446594,0.007613225374370813,0.009152663871645927,-0.02085154876112938,-0.028868617489933968,0.20365159213542938,0.17695413529872894,-0.05384670943021774,0.6407656073570251,-0.06755372136831284,-0.030015811324119568,0.06544781476259232,0.19559228420257568,-0.17073185741901398,0.025114230811595917,0.6521045565605164,-0.01654759980738163,-0.050948258489370346,0.020193807780742645]","[-0.03839239105582237,0.4742376208305359,-0.36385753750801086,-0.543663501739502,0.31318897008895874,0.11885783821344376,-0.24057306349277496,-0.23063082993030548,0.17547929286956787,-0.2159772515296936,-0.24030199646949768,0.03193556144833565,-0.04122820869088173,0.06561431288719177,-0.033787138760089874,-0.16058439016342163,0.1351068615913391,-0.07850512117147446,-0.10701609402894974,-0.178199902176857,-0.9006037712097168,1.1436423063278198,-0.09705249220132828,-0.2868805229663849,-0.04936837777495384,-0.08510134369134903,-0.060002487152814865,-1.0513811111450195,0.5019062757492065]",0.016163721680641174,0.01670144498348236,0.008753282949328423,0.03449809551239014,0.09887802600860596,4.943901300430298,0,0,0,0.49869757890701294,0.49912482500076294,0.998987078666687,0.9913007616996765,0.9727295637130737,0.9918087124824524,-0.008747066371142864,-0.0,-0.0,0.0,0.0,0.0,0.0
7,0.14,7,"[-0.30683067440986633,-5.839024197484832e-07,3.9333690438070334e-07,0.6613501906394958,-0.3605055809020996,7.825113925719052e-07,-0.31323951482772827,2.2686865719379057e-08,4.875395376302549e-08,0.6689891219139099,-0.3617587387561798,1.6860471907520491e-09,-1.4638206495274905e-25,-1.8260922998681435e-23,3.50037890567094e-20,0.20000000298023224,0.20000000298023224,1.7572717990895432e-18,0.6000000238418579,4.951207429673436e-18,-1.1956627747935548e-17,1.049534371268917e-17,0.20000000298023224,-0.20000000298023224,-1.5566933218449286e-18,0.6000000238418579,-4.7471502443627296e-18,-1.1965180795469346e-17,-1.0598933195160411e-17]","[-0.3251773416996002,0.008092786185443401,0.014054650440812111,0.6559888124465942,-0.3544456660747528,-0.02175617776811123,-0.34717369079589844,-0.007535665761679411,-0.0015587430680170655,0.7103481292724609,-0.38831743597984314,-0.004230518359690905,0.0011398016940802336,-0.02193875052034855,-0.03504372388124466,0.20556458830833435,0.1722739338874817,-0.05408304184675217,0.6424686312675476,-0.06847506761550903,-0.035931866616010666,0.07195260375738144,0.20019583404064178,-0.17116186022758484,0.025017965584993362,0.650509238243103,-0.02053499035537243,-0.05777135491371155,0.026061004027724266]","[-0.04652639105916023,0.3643434941768646,-0.29604825377464294,-0.421000599861145,0.4307894706726074,0.08781515806913376,-0.20871660113334656,-0.3172416090965271,0.2660805583000183,-0.35551875829696655,-0.16968882083892822,-0.008191073313355446,-0.05678622052073479,0.013425186276435852,-0.08275513350963593,-0.15802428126335144,0.17408743500709534,-0.049539245665073395,-0.09651684015989304,-0.16827377676963806,-0.8979508876800537,1.216904640197754,-0.09848446398973465,-0.2791782319545746,-0.055739324539899826,-0.10091112554073334,-0.07068845629692078,-1.1312466859817505,0.5927613377571106]",0.019988497719168663,0.01615738496184349,0.009535840712487698,0.03600160405039787,0.0986805409193039,4.934027045965195,0,0,0,0.49797025322914124,0.4991631507873535,0.9987508654594421,0.990101158618927,0.969308614730835,0.9905113577842712,-0.011778485029935837,-0.0,-0.0,0.0,0.0,0.0,0.0
8,0.16,8,"[-0.30166134238243103,-1.1678048394969665e-06,7.866738087614067e-07,0.6537003517150879,-0.3580111265182495,1.5650227851438103e-06,-0.3144790232181549,4.5373731438758114e-08,9.750790752605099e-08,0.668978214263916,-0.3605174720287323,3.3720943815040982e-09,-2.927641299054981e-25,-3.652184599736287e-23,7.00075781134188e-20,0.20000000298023224,0.20000000298023224,3.5145435981790864e-18,0.6000000238418579,9.902414859346872e-18,-2.3913255495871096e-17,2.099068742537834e-17,0.20000000298023224,-0.20000000298023224,-3.113386643689857e-18,0.6000000238418579,-9.494300488725459e-18,-2.3930361590938692e-17,-2.1197866390320822e-17]","[-0.33188119530677795,0.007478045299649239,0.00668729655444622,0.6512535214424133,-0.35086390376091003,-0.026075411587953568,-0.35207438468933105,-0.007979034446179867,-0.008878463879227638,0.7077224254608154,-0.3878764808177948,-0.014867708086967468,-0.0068151336163282394,-0.021381733939051628,-0.04089588299393654,0.20565833151340485,0.16825740039348602,-0.052898745983839035,0.6451446413993835,-0.06768102198839188,-0.03967558592557907,0.07796422392129898,0.20457953214645386,-0.17444713413715363,0.02269960567355156,0.6477903723716736,-0.025066904723644257,-0.06392878293991089,0.03197935223579407]","[-0.1057826355099678,0.25755852460861206,-0.22807325422763824,-0.28453874588012695,0.4874899685382843,0.039005596190690994,-0.13164332509040833,-0.3901868462562561,0.3769274652004242,-0.4689427316188812,-0.061941057443618774,-0.04010457918047905,-0.053839024156332016,-0.06510117650032043,-0.1380445659160614,-0.14773640036582947,0.21448960900306702,-0.028287097811698914,-0.08319903165102005,-0.15700718760490417,-0.8806451559066772,1.2868517637252808,-0.10610862821340561,-0.2471262365579605,-0.05554279312491417,-0.12288454920053482,-0.08459779620170593,-1.202751636505127,0.6823172569274902]",0.023724662140011787,0.015169757418334484,0.01033716183155775,0.03743269667029381,0.09861253947019577,4.9306269735097885,0,0,0,0.49709266424179077,0.4992557168006897,0.9984855651855469,0.9889568090438843,0.9687536358833313,0.9905431270599365,-0.01246087159961462,-0.0,-0.0,0.0,0.0,0.0,0.0
9,0.18,9,"[-0.2964920699596405,-1.7517065771244233e-06,1.1800103720815969e-06,0.6460505127906799,-0.3555167019367218,2.3475333819078514e-06,-0.31571853160858154,6.806057228914142e-08,1.462618257619397e-07,0.6689673066139221,-0.3592762351036072,5.0581396848770055e-09,-4.39146096250634e-25,-5.478275479654801e-23,1.0501133485838553e-19,0.20000000298023224,0.20000000298023224,5.271813949702558e-18,0.6000000238418579,1.485361773952694e-17,-3.586987331763929e-17,3.148602121190016e-17,0.20000000298023224,-0.20000000298023224,-4.6700781043784075e-18,0.6000000238418579,-1.4241444529233595e-17,-3.589553246024069e-17,-3.179678965931388e-17]","[-0.33957964181900024,0.008161834441125393,-0.0006029627984389663,0.6477025747299194,-0.3478509783744812,-0.030491074547171593,-0.3571648597717285,-0.0070127579383552074,-0.01557137630879879,0.7040092945098877,-0.387882262468338,-0.022537874057888985,-0.012746283784508705,-0.01905282586812973,-0.04659365862607956,0.2042788714170456,0.1653200089931488,-0.05125708878040314,0.6478269696235657,-0.0652134045958519,-0.04223978519439697,0.08365723490715027,0.20876799523830414,-0.18021397292613983,0.01879851520061493,0.6439346671104431,-0.029385313391685486,-0.06936558336019516,0.03767618536949158]","[-0.2180783599615097,0.17050981521606445,-0.17690260708332062,-0.1757764220237732,0.45589157938957214,-0.014556261710822582,-0.008936107158660889,-0.43919143080711365,0.48779892921447754,-0.5455583333969116,0.07217501103878021,-0.0718124508857727,-0.03823423385620117,-0.1504724621772766,-0.18380296230316162,-0.13042610883712769,0.2447604238986969,-0.01556096225976944,-0.07224202901124954,-0.14142341911792755,-0.889013409614563,1.3568083047866821,-0.11522317677736282,-0.19478332996368408,-0.043225955218076706,-0.1462281495332718,-0.0921081081032753,-1.2622286081314087,0.7676058411598206]",0.027214815840125084,0.014039629139006138,0.011055425740778446,0.03887413814663887,0.09860777109861374,4.930388554930687,0,0,0,0.49612346291542053,0.49936017394065857,0.9982079267501831,0.9878913760185242,0.9704417586326599,0.990746796131134,-0.012383419089019299,-0.0,-0.0,0.0,0.0,0.0,0.0
