step,sim_time_s,motion_frame,reference_joint_pos,actual_joint_pos,reference_joint_vel,actual_joint_vel,policy_action,anchor_position_error,anchor_rotation_error,body_position_error,body_rotation_error,total_reward,total_reward_rate,terminated,truncated,done,reward/motion_global_root_pos,reward/motion_global_root_ori,reward/motion_body_pos,reward/motion_body_ori,reward/motion_body_lin_vel,reward/motion_body_ang_vel,reward/action_rate_l2,reward/joint_limit,reward/self_collisions
0,0.0,0,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.28825843334198,-0.0010605171555653214,-0.008154505863785744,0.6326481103897095,-0.33549773693084717,-6.135527655715123e-05,-0.28429752588272095,0.0014828022103756666,0.002127376152202487,0.6323777437210083,-0.32503288984298706,-0.001553499256260693,-0.005404159892350435,0.0016219614772126079,0.010069664567708969,0.20037227869033813,0.20021288096904755,-0.0005041100666858256,0.6086100339889526,-0.0022262712009251118,0.0004101466038264334,0.0006106097134761512,0.2001650184392929,-0.2005147784948349,0.00037676398642361164,0.6066607236862183,-0.0012624214868992567,0.000265832815784961,1.1312083188386168e-05]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1.2091693878173828,-0.0621318481862545,-0.4305007755756378,-1.4338641166687012,1.2081621885299683,-0.011004121042788029,1.4615675210952759,0.055483005940914154,0.02160409651696682,-1.5497145652770996,1.6059762239456177,-0.058171406388282776,-0.34494835138320923,0.08969607204198837,0.6337395310401917,-0.03207879140973091,-0.01890302449464798,-0.020078880712389946,0.8131345510482788,-0.1275823414325714,0.03992503136396408,0.045716192573308945,-0.04973582923412323,0.0059977564960718155,0.01315477304160595,0.6912223696708679,-0.08782422542572021,0.032399844378232956,-0.001994999358430505]","[-0.21286162734031677,0.05650651454925537,-0.1351775825023651,0.29930609464645386,-0.03653839975595474,-0.015270271338522434,0.005860216915607452,-0.08861071616411209,0.13957111537456512,0.32307448983192444,-0.010033687576651573,-0.013290651142597198,-0.07861558347940445,0.04808180779218674,-0.005203403532505035,-0.2007931023836136,0.10943901538848877,-0.006062038242816925,-0.3424301743507385,-0.030189625918865204,-0.040441084653139114,0.22539100050926208,-0.2033471018075943,-0.20606322586536407,-0.018605869263410568,-0.3721499443054199,-0.11508007347583771,0.06026846170425415,-0.07580330967903137]",0.0011825957335531712,0.0016910092672333121,0.002879591891542077,0.015266085043549538,0.09006109833717346,4.503054916858673,0,0,0,0.49999523162841797,0.49999597668647766,0.9999181032180786,0.9987381100654602,0.9542918801307678,0.933456301689148,-0.3833410441875458,-0.0,-0.0
1,0.02,1,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.27099528908729553,-0.0020901761017739773,-0.01424546167254448,0.6261343955993652,-0.32634875178337097,-0.00046054727863520384,-0.26215675473213196,0.0014348208205774426,-0.0007128138095140457,0.6209298968315125,-0.31598979234695435,-0.0015013982774689794,-0.012260780669748783,0.0028335340321063995,0.021156828850507736,0.20095030963420868,0.19912967085838318,-0.0008646312053315341,0.6266314387321472,-0.005700963549315929,0.0011646738275885582,0.0018002067226916552,0.1997518092393875,-0.19879397749900818,0.00036020687548443675,0.6234598755836487,-0.0035014809109270573,0.0010983895044773817,6.027551535225939e-06]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.8305690288543701,-0.040346525609493256,-0.24762104451656342,-0.09722980856895447,0.16450737416744232,-0.023413721472024918,1.0506908893585205,-0.016662415117025375,-0.17229892313480377,-0.343118280172348,0.003954754676669836,0.025217458605766296,-0.3391537368297577,0.041213810443878174,0.48830750584602356,0.11226263642311096,-0.06139734759926796,-0.02120988443493843,0.8746728897094727,-0.17311584949493408,0.03114529699087143,0.06329214572906494,0.002493910491466522,0.12321766465902328,-0.0036713043227791786,0.8855660557746887,-0.1203346773982048,0.04439418762922287,0.0012581894407048821]","[-0.30553847551345825,0.09023860841989517,-0.0768391415476799,0.3443331718444824,-0.1218942180275917,0.011650695465505123,-0.04987690597772598,-0.1491967737674713,0.12328637391328812,0.3900125026702881,-0.052407100796699524,-0.022171057760715485,-0.10465864092111588,0.046036772429943085,-0.021701909601688385,-0.25615960359573364,0.1605352759361267,-0.012032486498355865,-0.5554407835006714,-0.043305687606334686,-0.01943439617753029,0.26932671666145325,-0.31663477420806885,-0.2592162489891052,-0.08874963968992233,-0.555891215801239,-0.12629447877407074,0.12869900465011597,-0.038072701543569565]",0.0008077461970970035,0.0050506689585745335,0.0031531567219644785,0.01884312555193901,0.09781625121831894,4.890812560915947,0,0,0,0.4999938905239105,0.499952107667923,0.999846875667572,0.9977589249610901,0.9945858120918274,0.9745355844497681,-0.07586086541414261,-0.0,-0.0
2,0.04,2,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.2595119774341583,-0.002379528246819973,-0.018627215176820755,0.6253362894058228,-0.3272746503353119,-0.0008855179185047746,-0.24635982513427734,0.0013026973465457559,-0.004529672674834728,0.6150696277618408,-0.32137101888656616,-0.0007392737898044288,-0.019386304542422295,0.003971959464251995,0.025323281064629555,0.20765645802021027,0.19843797385692596,-0.001826974912546575,0.6347490549087524,-0.007382506038993597,0.001394780119881034,0.0030717214103788137,0.20179013907909393,-0.19674734771251678,3.789247421082109e-05,0.6348465085029602,-0.006060176994651556,0.001738854101859033,9.54171919147484e-05]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.4865310490131378,-0.0051734428852796555,-0.2062084674835205,-0.06428901851177216,-0.11264175921678543,-0.018674246966838837,0.6956652402877808,-0.002114830771461129,-0.19223293662071228,-0.31428104639053345,-0.33932292461395264,0.04144950956106186,-0.35512521862983704,0.06451932340860367,0.10532788932323456,0.4026060402393341,-0.024105289950966835,-0.05208265408873558,0.2144021987915039,-0.050684235990047455,0.010693417862057686,0.0638749971985817,0.14337077736854553,0.08071836829185486,-0.01746789552271366,0.3984321355819702,-0.12991221249103546,0.0279513131827116,0.006194335874170065]","[-0.4223157465457916,0.11010926961898804,-0.06416749209165573,0.45879626274108887,-0.06114669889211655,0.024240732192993164,-0.05891401320695877,-0.1828133761882782,0.11622101813554764,0.5029937028884888,0.04014263302087784,-0.020522862672805786,-0.08245869725942612,0.0528472363948822,-0.022395335137844086,-0.2923572361469269,0.20669180154800415,-0.005516521632671356,-0.663218080997467,-0.02720467746257782,0.068386971950531,0.27988556027412415,-0.4040669798851013,-0.28672587871551514,-0.12483447045087814,-0.6546124219894409,-0.1325928419828415,0.18263909220695496,-0.01749236509203911]",0.0010140000376850367,0.010643800720572472,0.00350317545235157,0.023706955835223198,0.0985698401927948,4.92849200963974,0,0,0,0.4999970495700836,0.4997352063655853,0.9998182654380798,0.9960745573043823,0.9943665862083435,0.9886412620544434,-0.05014076456427574,-0.0,-0.0
3,0.06,3,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.25557276606559753,-0.0023375237360596657,-0.022576220333576202,0.6255363821983337,-0.33026736974716187,-0.001144862500950694,-0.2382543534040451,0.0013560636434704065,-0.008412347175180912,0.6100215911865234,-0.3278813362121582,0.0001376409927615896,-0.025652870535850525,0.005730495788156986,0.024560825899243355,0.214365154504776,0.19816526770591736,-0.002594507299363613,0.6364771723747253,-0.007907295599579811,0.0019763584714382887,0.004340486600995064,0.20467770099639893,-0.1965509057044983,-0.00039637397276237607,0.6380941867828369,-0.008299600332975388,0.002372806193307042,0.00036218547029420733]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0948861837387085,0.003727959468960762,-0.1849449723958969,0.042260028421878815,-0.15402890741825104,-0.009264925494790077,0.29236915707588196,0.0038418981712311506,-0.1850382387638092,-0.2151840627193451,-0.293915718793869,0.04302744194865227,-0.2814554274082184,0.0928923487663269,-0.05067290738224983,0.268398642539978,-0.010091632604598999,-0.026805222034454346,0.044873159378767014,-0.01699039712548256,0.03849814832210541,0.06306041777133942,0.10283511877059937,-0.02502617985010147,-0.02253030799329281,0.08639805763959885,-0.10410017520189285,0.03752289339900017,0.013693736866116524]","[-0.496467649936676,0.12796427309513092,-0.07652714103460312,0.5732824802398682,0.006005669012665749,0.02179865539073944,-0.06946615129709244,-0.20534294843673706,0.11396963149309158,0.6193103790283203,0.12171942740678787,-0.00432983785867691,-0.06358369439840317,0.05334339290857315,-0.04272007197141647,-0.3253863453865051,0.23994983732700348,-0.0024767592549324036,-0.718364417552948,-0.025089867413043976,0.16457007825374603,0.2755422592163086,-0.46318596601486206,-0.30422431230545044,-0.14457398653030396,-0.7222729921340942,-0.10922208428382874,0.24269360303878784,0.019137714058160782]",0.002088481094688177,0.01505697425454855,0.004090431611984968,0.0263539869338274,0.09900856018066406,4.950428009033203,0,0,0,0.4999805688858032,0.49936938285827637,0.9997707605361938,0.9947735667228699,0.9978868961334229,0.9957558512687683,-0.03710898756980896,-0.0,-0.0
4,0.08,4,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.2571597099304199,-0.002145904116332531,-0.026137428358197212,0.6289615631103516,-0.3335007429122925,-0.0012659194180741906,-0.2359812706708908,0.001559630618430674,-0.012040359899401665,0.6081903576850891,-0.3325870931148529,0.0009607396787032485,-0.02993577904999256,0.007877819240093231,0.023897483944892883,0.21671760082244873,0.19803863763809204,-0.002962691942229867,0.6367338299751282,-0.008143945597112179,0.0031123259104788303,0.005534579511731863,0.2051236778497696,-0.1983194202184677,-0.0008756659808568656,0.6388265490531921,-0.00983310118317604,0.003353563603013754,0.0009164424845948815]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.1506427675485611,0.016282647848129272,-0.18257366120815277,0.23576943576335907,-0.16324031352996826,-0.0037967851385474205,0.04879793897271156,0.017877701669931412,-0.18659748136997223,-0.04193427041172981,-0.19586379826068878,0.03899060934782028,-0.17727841436862946,0.1221606582403183,-0.010878336615860462,0.044522788375616074,-0.005962681490927935,-0.01668895035982132,6.0333044530125335e-05,-0.009805165231227875,0.06274872273206711,0.057500001043081284,-0.0025580718647688627,-0.12211278825998306,-0.02466132491827011,0.01823998987674713,-0.06532292813062668,0.0521889291703701,0.028172269463539124]","[-0.5372350215911865,0.14318126440048218,-0.0971623882651329,0.6483776569366455,0.035532355308532715,0.005339278839528561,-0.08175269514322281,-0.22033971548080444,0.11099333316087723,0.7096941471099854,0.16727736592292786,0.007649734616279602,-0.05020923167467117,0.044040895998477936,-0.07396771758794785,-0.3388047218322754,0.26265811920166016,6.737560033798218e-05,-0.7487815022468567,-0.027620747685432434,0.27230238914489746,0.2663460075855255,-0.5006647109985352,-0.307930052280426,-0.15386629104614258,-0.764805018901825,-0.08193828165531158,0.3119833469390869,0.05549221113324165]",0.002468345919623971,0.01638777181506157,0.004342211410403252,0.027861984446644783,0.09936832636594772,4.968416318297386,0,0,0,0.4999673068523407,0.49916622042655945,0.9997294545173645,0.9939501881599426,0.9996781945228577,0.9982354044914246,-0.022310813888907433,-0.0,-0.0
5,0.1,5,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.26412031054496765,-0.0019198402296751738,-0.029879184439778328,0.6361358165740967,-0.3368889093399048,-0.0013678179820999503,-0.2390305995941162,0.0018410838674753904,-0.015879152342677116,0.6099148392677307,-0.33577266335487366,0.00167418597266078,-0.03272372484207153,0.010344833135604858,0.022312309592962265,0.2167321741580963,0.19797642529010773,-0.0032338465098291636,0.6364861726760864,-0.00832862127572298,0.004600724205374718,0.006615983787924051,0.20472976565361023,-0.20141182839870453,-0.0014065727591514587,0.6388388872146606,-0.010634721256792545,0.004566340707242489,0.001755933160893619]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.41194218397140503,0.008269492536783218,-0.1846131533384323,0.41135331988334656,-0.1711905300617218,-0.00503932498395443,-0.22345103323459625,0.011561136692762375,-0.18978449702262878,0.14828598499298096,-0.14064615964889526,0.033365849405527115,-0.11389410495758057,0.11992628127336502,-0.08300755172967911,-0.008162508718669415,-0.002685394836589694,-0.01328470092266798,-0.018693266436457634,-0.008731139823794365,0.07681693881750107,0.0522308386862278,-0.02128078229725361,-0.1678750216960907,-0.026816681027412415,-0.007533598225563765,-0.02989451214671135,0.06258731335401535,0.041815947741270065]","[-0.5626007318496704,0.1549260914325714,-0.11755182594060898,0.6862149238586426,0.0358746275305748,-0.021053262054920197,-0.10299260169267654,-0.23208504915237427,0.10799717158079147,0.7744929194450378,0.18151789903640747,0.010026693344116211,-0.04509428143501282,0.0335380956530571,-0.10282226651906967,-0.3344017267227173,0.2768712043762207,0.0017885193228721619,-0.7642726898193359,-0.027956724166870117,0.39006197452545166,0.2567487955093384,-0.5258716940879822,-0.30161720514297485,-0.15555435419082642,-0.790667712688446,-0.06034892052412033,0.39063408970832825,0.08330148458480835]",0.0024168556556105614,0.015505684539675713,0.004250398371368647,0.02853124588727951,0.09945869445800781,4.972934722900391,0,0,0,0.4999665915966034,0.4992121756076813,0.9997210502624512,0.9935314059257507,0.9993268251419067,0.9974246621131897,-0.016248058527708054,-0.0,-0.0
6,0.12,6,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.27490168809890747,-0.001853732392191887,-0.03336967155337334,0.6461967825889587,-0.3405343294143677,-0.0016117459163069725,-0.2464204877614975,0.0019599669612944126,-0.019505640491843224,0.6153005957603455,-0.338500052690506,0.0022427027579396963,-0.03423376753926277,0.012385610491037369,0.019882606342434883,0.21647870540618896,0.19797202944755554,-0.0034525038208812475,0.6360821723937988,-0.008455938659608364,0.006968293339014053,0.007595298811793327,0.20423419773578644,-0.20480865240097046,-0.0019343300955370069,0.6385447382926941,-0.010867319069802761,0.00600189995020628,0.0026723057962954044]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.5631820559501648,0.001308709615841508,-0.16714529693126678,0.5383743047714233,-0.1874050796031952,-0.014649191871285439,-0.405001699924469,0.003853745758533478,-0.17441426217556,0.32259252667427063,-0.13592395186424255,0.02568039670586586,-0.05098375305533409,0.08988534659147263,-0.10320413112640381,-0.009414092637598515,0.00013233920617494732,-0.011083707213401794,-0.02499578148126602,-0.005407784134149551,0.11835095286369324,0.04712983965873718,-0.021819865331053734,-0.16704976558685303,-0.025634020566940308,-0.01870926097035408,-0.004397846758365631,0.07416025549173355,0.04312045872211456]","[-0.5785695314407349,0.16381171345710754,-0.139672189950943,0.7121596336364746,0.02186809666454792,-0.05153303220868111,-0.12814411520957947,-0.2429496943950653,0.1052251085639,0.8289459943771362,0.17796260118484497,0.007756359875202179,-0.04570944607257843,0.023377247154712677,-0.13071396946907043,-0.32492130994796753,0.2833639681339264,0.0053399428725242615,-0.774688184261322,-0.025700673460960388,0.5178072452545166,0.2452886700630188,-0.5454978346824646,-0.2918878197669983,-0.15250813961029053,-0.807361900806427,-0.04617200791835785,0.47753670811653137,0.1008102297782898]",0.0022144955582916737,0.013274259865283966,0.004076123237609863,0.0286872498691082,0.09940052032470703,4.970026016235352,0,0,0,0.499971479177475,0.4993910789489746,0.9997243285179138,0.9933640956878662,0.9981837868690491,0.9957813024520874,-0.016390126198530197,-0.0,-0.0
7,0.14,7,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.28801655769348145,-0.001887588994577527,-0.03667573630809784,0.6584051251411438,-0.3445890545845032,-0.002090121852234006,-0.25659480690956116,0.0019738890696316957,-0.022970641031861305,0.6236740946769714,-0.3415665328502655,0.002641297411173582,-0.03483590856194496,0.01375882513821125,0.017314504832029343,0.2162785828113556,0.19801738858222961,-0.0036308299750089645,0.6357048749923706,-0.008508540689945221,0.011103831231594086,0.008470829576253891,0.20374347269535065,-0.2077644318342209,-0.002423651749268174,0.6381577849388123,-0.010736222378909588,0.008113385178148746,0.0035217036493122578]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.6608179211616516,-0.00305330497212708,-0.1624077409505844,0.6345986723899841,-0.20929548144340515,-0.027097245678305626,-0.5213463306427002,-0.0005229078233242035,-0.170369952917099,0.4576355814933777,-0.16289041936397552,0.01689932681620121,-0.015270406380295753,0.053743161261081696,-0.1011839434504509,-0.005265900399535894,0.0025422200560569763,-0.009016240946948528,-0.023617858067154884,-0.0015431329375132918,0.21672017872333527,0.04197021573781967,-0.021626494824886322,-0.1329958736896515,-0.023215392604470253,-0.02374224178493023,0.010794533416628838,0.10381899774074554,0.03923540934920311]","[-0.5972963571548462,0.17029638588428497,-0.16319113969802856,0.7393786907196045,-0.0019155796617269516,-0.08106043189764023,-0.157294362783432,-0.25324705243110657,0.10269204527139664,0.8772817850112915,0.16471147537231445,0.002314060926437378,-0.049460671842098236,0.01503019779920578,-0.15534129738807678,-0.3148989677429199,0.28319084644317627,0.010393835604190826,-0.7842218279838562,-0.0222429558634758,0.6522973775863647,0.2325572967529297,-0.5618937611579895,-0.2811829447746277,-0.14537543058395386,-0.8181887269020081,-0.03840286284685135,0.5730619430541992,0.11102555692195892]",0.0021763902623206377,0.010055004619061947,0.004106477834284306,0.028917165473103523,0.09929808974266052,4.964904487133026,0,0,0,0.49997425079345703,0.49962493777275085,0.9997119307518005,0.9931387305259705,0.9966861605644226,0.9935875535011292,-0.01781906932592392,-0.0,-0.0
8,0.16,8,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.30294832587242126,-0.002144400030374527,-0.04011653736233711,0.6722654104232788,-0.3490390181541443,-0.0027909204363822937,-0.2688367962837219,0.0017877473728731275,-0.026559224352240562,0.634463906288147,-0.3453916311264038,0.0028633978217840195,-0.03512134775519371,0.014304504729807377,0.01468120887875557,0.21614155173301697,0.19809292256832123,-0.003766363952308893,0.6353169679641724,-0.008474491536617279,0.01711413823068142,0.009242592379450798,0.20320041477680206,-0.20972990989685059,-0.0028660958632826805,0.6377729177474976,-0.010402774438261986,0.011462012305855751,0.0042204963974654675]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.7454645037651062,-0.015909884124994278,-0.17483854293823242,0.710999071598053,-0.2277078777551651,-0.037489112466573715,-0.614780068397522,-0.011853663250803947,-0.18188555538654327,0.5692142248153687,-0.2044837474822998,0.008088881149888039,-0.009028356522321701,0.012626120820641518,-0.10296639800071716,-0.0019000362372025847,0.0034768145997077227,-0.007095492910593748,-0.025727856904268265,0.0029189055785536766,0.3023776710033417,0.036723434925079346,-0.029036404564976692,-0.07649572193622589,-0.020643383264541626,-0.023466775193810463,0.018838154152035713,0.17338672280311584,0.031565114855766296]","[-0.6193557381629944,0.1746220737695694,-0.185993492603302,0.7732256650924683,-0.03327871114015579,-0.10556358844041824,-0.19183161854743958,-0.2633993923664093,0.10265155881643295,0.9229444861412048,0.14785736799240112,-0.004923000931739807,-0.055854104459285736,0.008668787777423859,-0.17748570442199707,-0.3048759400844574,0.27751854062080383,0.016476653516292572,-0.794554591178894,-0.01805257797241211,0.7902979850769043,0.2192806750535965,-0.5769083499908447,-0.2692025899887085,-0.13466130197048187,-0.8250355124473572,-0.034184858202934265,0.6782108545303345,0.1142285168170929]",0.0026377278845757246,0.006410660222172737,0.004627587739378214,0.029531126841902733,0.09917105734348297,4.958552867174149,0,0,0,0.4999660551548004,0.4998319745063782,0.9996639490127563,0.992599606513977,0.9949778318405151,0.9911004304885864,-0.019586727023124695,-0.0,-0.0
9,0.18,9,"[-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,-0.31200000643730164,0.0,0.0,0.6690000295639038,-0.3630000054836273,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0,0.20000000298023224,-0.20000000298023224,0.0,0.6000000238418579,0.0,0.0,0.0]","[-0.3197866678237915,-0.0025750789791345596,-0.04394087940454483,0.6877239942550659,-0.3538813889026642,-0.0036637603770941496,-0.28296706080436707,0.0014694846468046308,-0.03050839528441429,0.6472006440162659,-0.3500201106071472,0.0029170457273721695,-0.035461608320474625,0.014369764365255833,0.011762005276978016,0.2160673439502716,0.1981549859046936,-0.0038723270408809185,0.634870707988739,-0.00808362290263176,0.024559983983635902,0.009905059821903706,0.20245647430419922,-0.21053999662399292,-0.003260131226852536,0.6373608112335205,-0.009958161972463131,0.016147004440426826,0.004686441272497177]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.841205894947052,-0.021231893450021744,-0.19653193652629852,0.7931236028671265,-0.24844889342784882,-0.04510115832090378,-0.704571545124054,-0.014854510314762592,-0.2023419290781021,0.6576631665229797,-0.24205316603183746,1.1159348105138633e-05,-0.018017737194895744,0.00029240158619359136,-0.11713150888681412,0.001597078051418066,0.00213931268081069,-0.006002328358590603,-0.02900797501206398,0.021665126085281372,0.36468398571014404,0.031142765656113625,-0.04634964466094971,-0.01910996064543724,-0.018002424389123917,-0.025509586557745934,0.023378046229481697,0.23743575811386108,0.02012207731604576]","[-0.6438668966293335,0.17715825140476227,-0.20557716488838196,0.8159399032592773,-0.07127469033002853,-0.12469939142465591,-0.2329947054386139,-0.2735583186149597,0.10681373625993729,0.9675365686416626,0.13099773228168488,-0.012310981750488281,-0.06388934701681137,0.0033382289111614227,-0.19912734627723694,-0.295134961605072,0.26840129494667053,0.023997269570827484,-0.8050980567932129,-0.0127621591091156,0.9277699589729309,0.20593532919883728,-0.591349184513092,-0.25644296407699585,-0.12119697034358978,-0.8302174210548401,-0.031002134084701538,0.7935023307800293,0.1077849268913269]",0.003685491858050227,0.004393285606056452,0.005597931798547506,0.030719922855496407,0.09903067350387573,4.951533675193787,0,0,0,0.4999365210533142,0.49993568658828735,0.9995617866516113,0.9915803670883179,0.993100643157959,0.988770067691803,-0.021351151168346405,-0.0,-0.0
